intervention_id,student_id,intervention_type,intervention_date,staff_assigned,outcome
2392,1881,Career Counseling,2023-12-27,Advisor Smith,Follow-up Needed
2393,1881,Academic Planning,2023-12-05,Advisor Chen,Follow-up Needed
2394,1889,Career Counseling,2023-11-28,Advisor Chen,No Response
2395,1893,Career Counseling,2023-12-12,Advisor Garcia,Follow-up Needed
2396,1893,Academic Planning,2023-11-23,Advisor Jones,In Progress
2397,1895,Career Counseling,2023-10-13,Advisor Garcia,In Progress
2398,1895,Financial Aid Guidance,2023-10-23,Advisor Garcia,No Response
2399,1898,Academic Planning,2023-10-07,Advisor Jones,In Progress
2400,1904,Career Counseling,2023-11-08,Advisor Garcia,In Progress
2401,1904,Career Counseling,2023-12-07,Advisor Smith,No Response
2402,1910,Financial Aid Guidance,2023-10-19,Advisor Jones,In Progress
2403,1910,At-Risk Outreach,2023-10-10,Advisor Jones,No Response
2404,1916,At-Risk Outreach,2023-10-20,Advisor Smith,In Progress
2405,1916,Career Counseling,2023-10-29,Advisor Garcia,In Progress
2406,1921,At-Risk Outreach,2023-12-11,Advisor Garcia,Successful
2407,1922,At-Risk Outreach,2023-10-26,Advisor Chen,No Response
2408,1925,At-Risk Outreach,2023-10-10,Advisor Smith,Successful
2409,1925,Financial Aid Guidance,2023-12-07,Advisor Garcia,Successful
2410,1927,Career Counseling,2023-11-03,Advisor Jones,Successful
2411,1933,Career Counseling,2023-10-06,Advisor Garcia,Follow-up Needed
2412,1933,At-Risk Outreach,2023-10-26,Advisor Chen,Successful
2413,1935,Financial Aid Guidance,2023-10-06,Advisor Jones,No Response
2414,1935,Career Counseling,2023-12-27,Advisor Garcia,No Response
2415,1938,Academic Planning,2023-11-11,Advisor Jones,Successful
2416,1938,Academic Planning,2023-10-30,Advisor Garcia,In Progress
2417,1939,At-Risk Outreach,2023-10-03,Advisor Jones,Follow-up Needed
2418,1939,Academic Planning,2023-12-21,Advisor Smith,Successful
2419,1943,Academic Planning,2023-10-21,Advisor Jones,In Progress
2420,1945,At-Risk Outreach,2023-11-17,Advisor Smith,No Response
2421,1945,Financial Aid Guidance,2023-11-15,Advisor Chen,No Response
2422,1955,Career Counseling,2023-11-20,Advisor Garcia,In Progress
2423,1957,Financial Aid Guidance,2023-12-10,Advisor Jones,In Progress
2424,1957,Career Counseling,2023-10-14,Advisor Jones,Successful
2425,1958,Career Counseling,2023-10-20,Advisor Jones,In Progress
2426,1958,At-Risk Outreach,2023-10-01,Advisor Garcia,No Response
2427,1973,Career Counseling,2023-11-25,Advisor Chen,Follow-up Needed
2428,1979,Career Counseling,2023-10-20,Advisor Garcia,Follow-up Needed
2429,1979,Financial Aid Guidance,2023-12-18,Advisor Smith,Follow-up Needed
2430,1980,At-Risk Outreach,2023-12-19,Advisor Smith,Successful
2431,1985,Financial Aid Guidance,2023-10-24,Advisor Jones,In Progress
2432,1986,Academic Planning,2023-11-26,Advisor Jones,In Progress
2433,1988,At-Risk Outreach,2023-12-28,Advisor Garcia,Successful
2434,1989,At-Risk Outreach,2023-10-06,Advisor Chen,Successful
2435,1990,At-Risk Outreach,2023-10-24,Advisor Jones,No Response
2436,1990,Academic Planning,2023-11-17,Advisor Chen,Follow-up Needed
2437,1995,Career Counseling,2023-11-24,Advisor Jones,Successful
2438,1995,Career Counseling,2023-12-03,Advisor Smith,No Response
2439,1996,Financial Aid Guidance,2023-12-01,Advisor Jones,In Progress
2440,1998,Financial Aid Guidance,2023-11-11,Advisor Smith,Follow-up Needed
2441,1998,Academic Planning,2023-12-25,Advisor Jones,No Response
2442,2000,Career Counseling,2023-12-06,Advisor Smith,In Progress
2443,2000,Financial Aid Guidance,2023-11-18,Advisor Chen,Follow-up Needed
2444,2005,At-Risk Outreach,2023-10-13,Advisor Smith,Successful
2445,2005,Career Counseling,2023-12-03,Advisor Garcia,Successful
2446,2006,Career Counseling,2023-11-03,Advisor Chen,No Response
2447,2019,At-Risk Outreach,2023-10-01,Advisor Smith,In Progress
2448,2019,Financial Aid Guidance,2023-12-02,Advisor Smith,No Response
2449,2020,At-Risk Outreach,2023-10-17,Advisor Jones,No Response
2450,2020,Financial Aid Guidance,2023-10-01,Advisor Chen,Successful
2451,2023,Financial Aid Guidance,2023-12-08,Advisor Jones,No Response
2452,2029,Career Counseling,2023-11-15,Advisor Jones,No Response
2453,2029,At-Risk Outreach,2023-11-05,Advisor Chen,In Progress
2454,2030,Academic Planning,2023-11-11,Advisor Jones,Successful
2455,2037,At-Risk Outreach,2023-12-03,Advisor Jones,Successful
2456,2038,At-Risk Outreach,2023-12-13,Advisor Smith,Successful
2457,2043,Academic Planning,2023-11-22,Advisor Smith,Successful
2458,2043,At-Risk Outreach,2023-10-14,Advisor Smith,No Response
2459,2047,Career Counseling,2023-11-13,Advisor Garcia,No Response
2460,2051,Financial Aid Guidance,2023-12-15,Advisor Smith,Follow-up Needed
2461,2054,At-Risk Outreach,2023-10-20,Advisor Jones,Follow-up Needed
2462,2054,Academic Planning,2023-11-22,Advisor Garcia,Follow-up Needed
2463,2057,Financial Aid Guidance,2023-10-19,Advisor Chen,Follow-up Needed
2464,2059,Career Counseling,2023-10-01,Advisor Chen,In Progress
2465,2059,Career Counseling,2023-12-20,Advisor Jones,Follow-up Needed
2466,2060,Career Counseling,2023-11-01,Advisor Chen,In Progress
2467,2060,Financial Aid Guidance,2023-10-19,Advisor Smith,No Response
2468,2072,Academic Planning,2023-10-29,Advisor Jones,Follow-up Needed
2469,2072,Financial Aid Guidance,2023-10-11,Advisor Garcia,No Response
2470,2074,Financial Aid Guidance,2023-10-22,Advisor Smith,No Response
2471,2074,Career Counseling,2023-12-24,Advisor Jones,Follow-up Needed
2472,2079,Career Counseling,2023-11-13,Advisor Chen,Successful
2473,2084,At-Risk Outreach,2023-12-01,Advisor Chen,Follow-up Needed
2474,2085,At-Risk Outreach,2023-10-31,Advisor Smith,No Response
2475,2085,Financial Aid Guidance,2023-10-13,Advisor Smith,Successful
2476,2086,At-Risk Outreach,2023-10-09,Advisor Garcia,Follow-up Needed
2477,2086,At-Risk Outreach,2023-10-01,Advisor Chen,No Response
2478,2087,Academic Planning,2023-11-01,Advisor Jones,Follow-up Needed
2479,2087,Career Counseling,2023-11-19,Advisor Garcia,In Progress
2480,2091,Academic Planning,2023-10-11,Advisor Garcia,No Response
2481,2093,Career Counseling,2023-11-15,Advisor Smith,Follow-up Needed
2482,2093,Academic Planning,2023-11-20,Advisor Garcia,Follow-up Needed
2483,2094,At-Risk Outreach,2023-10-25,Advisor Jones,Follow-up Needed
2484,2094,At-Risk Outreach,2023-11-09,Advisor Garcia,Successful
2485,2095,Financial Aid Guidance,2023-12-27,Advisor Smith,Successful
2486,2097,At-Risk Outreach,2023-10-31,Advisor Garcia,In Progress
2487,2102,Career Counseling,2023-11-09,Advisor Jones,Successful
2488,2102,Career Counseling,2023-10-15,Advisor Smith,Successful
2489,2104,Financial Aid Guidance,2023-10-25,Advisor Garcia,Successful
2490,2104,At-Risk Outreach,2023-11-27,Advisor Jones,In Progress
2491,2110,Career Counseling,2023-10-13,Advisor Smith,Follow-up Needed
2492,2110,Career Counseling,2023-10-21,Advisor Garcia,Follow-up Needed
2493,2112,Academic Planning,2023-10-22,Advisor Jones,Successful
2494,2118,At-Risk Outreach,2023-11-27,Advisor Chen,No Response
2495,2123,Academic Planning,2023-11-30,Advisor Garcia,In Progress
2496,2123,At-Risk Outreach,2023-11-19,Advisor Jones,Follow-up Needed
2497,2131,At-Risk Outreach,2023-11-07,Advisor Jones,No Response
2498,2135,Career Counseling,2023-11-12,Advisor Smith,Successful
2499,2135,Financial Aid Guidance,2023-12-23,Advisor Garcia,No Response
2500,2140,Financial Aid Guidance,2023-10-26,Advisor Jones,In Progress
2501,2144,Academic Planning,2023-10-29,Advisor Jones,Follow-up Needed
2502,2146,Financial Aid Guidance,2023-11-03,Advisor Smith,Successful
2503,2146,Career Counseling,2023-10-10,Advisor Jones,Successful
2504,2147,Academic Planning,2023-12-28,Advisor Jones,In Progress
2505,2147,Career Counseling,2023-10-08,Advisor Smith,Successful
2506,2152,At-Risk Outreach,2023-11-13,Advisor Chen,Follow-up Needed
2507,2152,Financial Aid Guidance,2023-12-28,Advisor Garcia,Successful
2508,2155,Career Counseling,2023-12-13,Advisor Chen,In Progress
2509,2155,Financial Aid Guidance,2023-10-10,Advisor Garcia,In Progress
2510,2156,Financial Aid Guidance,2023-10-20,Advisor Chen,Follow-up Needed
2511,2157,Career Counseling,2023-10-20,Advisor Garcia,No Response
2512,2157,At-Risk Outreach,2023-11-04,Advisor Smith,Follow-up Needed
2513,2159,Academic Planning,2023-12-17,Advisor Garcia,In Progress
2514,2159,Financial Aid Guidance,2023-11-23,Advisor Smith,Successful
2515,2160,At-Risk Outreach,2023-10-25,Advisor Jones,Successful
2516,2161,Academic Planning,2023-11-07,Advisor Smith,In Progress
2517,2161,Financial Aid Guidance,2023-11-08,Advisor Garcia,Successful
2518,2169,Academic Planning,2023-10-15,Advisor Jones,In Progress
2519,2169,Career Counseling,2023-12-05,Advisor Chen,Successful
2520,2171,Academic Planning,2023-10-05,Advisor Garcia,In Progress
2521,2173,Academic Planning,2023-12-02,Advisor Smith,In Progress
2522,2175,Career Counseling,2023-12-29,Advisor Chen,No Response
2523,2180,Academic Planning,2023-10-24,Advisor Jones,Follow-up Needed
2524,2181,At-Risk Outreach,2023-11-07,Advisor Jones,Successful
2525,2187,Academic Planning,2023-12-08,Advisor Garcia,Follow-up Needed
2526,2190,Academic Planning,2023-12-09,Advisor Smith,Follow-up Needed
2527,2190,Academic Planning,2023-11-28,Advisor Smith,No Response
2528,2194,Academic Planning,2023-10-21,Advisor Chen,Successful
2529,2194,Academic Planning,2023-12-16,Advisor Smith,No Response
2530,2195,At-Risk Outreach,2023-11-07,Advisor Chen,No Response
2531,2198,Academic Planning,2023-12-15,Advisor Jones,No Response
2532,2198,Academic Planning,2023-10-20,Advisor Garcia,No Response
2533,2201,Financial Aid Guidance,2023-11-09,Advisor Jones,In Progress
2534,2201,Career Counseling,2023-12-18,Advisor Jones,Follow-up Needed
2535,2211,Career Counseling,2023-12-22,Advisor Chen,No Response
2536,2211,Academic Planning,2023-10-13,Advisor Smith,Successful
2537,2215,At-Risk Outreach,2023-12-05,Advisor Jones,In Progress
2538,2217,Financial Aid Guidance,2023-10-02,Advisor Chen,In Progress
2539,2217,Academic Planning,2023-10-01,Advisor Jones,Follow-up Needed
2540,2218,Academic Planning,2023-11-13,Advisor Smith,Successful
2541,2223,Financial Aid Guidance,2023-11-23,Advisor Jones,In Progress
2542,2224,Financial Aid Guidance,2023-11-19,Advisor Chen,In Progress
2543,2224,At-Risk Outreach,2023-10-04,Advisor Garcia,Follow-up Needed
2544,2230,Financial Aid Guidance,2023-10-24,Advisor Smith,Successful
2545,2231,Career Counseling,2023-10-11,Advisor Smith,In Progress
2546,2233,Career Counseling,2023-11-07,Advisor Garcia,Follow-up Needed
2547,2233,Financial Aid Guidance,2023-12-06,Advisor Jones,Follow-up Needed
2548,2240,Career Counseling,2023-12-21,Advisor Chen,No Response
2549,2245,Financial Aid Guidance,2023-10-01,Advisor Smith,In Progress
2550,2247,At-Risk Outreach,2023-11-26,Advisor Smith,Successful
2551,2251,Academic Planning,2023-11-08,Advisor Jones,Follow-up Needed
2552,2252,At-Risk Outreach,2023-10-18,Advisor Chen,In Progress
2553,2252,Career Counseling,2023-12-09,Advisor Garcia,No Response
2554,2253,At-Risk Outreach,2023-10-31,Advisor Jones,Successful
2555,2256,At-Risk Outreach,2023-12-04,Advisor Chen,Follow-up Needed
2556,2258,Career Counseling,2023-10-16,Advisor Garcia,No Response
2557,2259,Financial Aid Guidance,2023-10-11,Advisor Chen,Successful
2558,2259,At-Risk Outreach,2023-10-21,Advisor Smith,In Progress
2559,2263,Academic Planning,2023-11-12,Advisor Jones,Successful
2560,2263,Financial Aid Guidance,2023-10-13,Advisor Smith,In Progress
2561,2265,At-Risk Outreach,2023-10-08,Advisor Chen,No Response
2562,2269,At-Risk Outreach,2023-10-31,Advisor Jones,Follow-up Needed
2563,2270,Career Counseling,2023-12-28,Advisor Garcia,In Progress
2564,2272,Financial Aid Guidance,2023-10-12,Advisor Smith,Successful
2565,2272,At-Risk Outreach,2023-12-25,Advisor Chen,In Progress
2566,2274,Career Counseling,2023-10-15,Advisor Jones,Follow-up Needed
2567,2274,Career Counseling,2023-10-11,Advisor Smith,Successful
2568,2275,Financial Aid Guidance,2023-11-24,Advisor Smith,Follow-up Needed
2569,2276,Career Counseling,2023-12-23,Advisor Jones,In Progress
2570,2278,Financial Aid Guidance,2023-10-07,Advisor Garcia,No Response
2571,2278,At-Risk Outreach,2023-10-22,Advisor Jones,In Progress
2572,2279,Financial Aid Guidance,2023-12-04,Advisor Chen,Successful
2573,2281,Financial Aid Guidance,2023-10-24,Advisor Smith,Successful
2574,2281,Academic Planning,2023-12-09,Advisor Jones,Follow-up Needed
2575,2284,Financial Aid Guidance,2023-11-05,Advisor Garcia,No Response
2576,2284,Financial Aid Guidance,2023-10-27,Advisor Jones,No Response
2577,2288,At-Risk Outreach,2023-11-13,Advisor Smith,Successful
2578,2288,Career Counseling,2023-10-15,Advisor Jones,In Progress
2579,2295,At-Risk Outreach,2023-10-24,Advisor Garcia,No Response
2580,2297,Financial Aid Guidance,2023-10-17,Advisor Chen,No Response
2581,2307,Financial Aid Guidance,2023-11-14,Advisor Chen,In Progress
2582,2312,At-Risk Outreach,2023-10-29,Advisor Smith,No Response
2583,2314,Financial Aid Guidance,2023-10-10,Advisor Chen,No Response
2584,2314,Financial Aid Guidance,2023-12-11,Advisor Jones,No Response
2585,2315,Career Counseling,2023-12-26,Advisor Chen,Follow-up Needed
2586,2322,At-Risk Outreach,2023-11-19,Advisor Jones,Follow-up Needed
2587,2324,At-Risk Outreach,2023-12-19,Advisor Chen,Successful
2588,2324,Career Counseling,2023-12-22,Advisor Chen,Successful
2589,2333,At-Risk Outreach,2023-10-10,Advisor Garcia,No Response
2590,2333,Career Counseling,2023-12-18,Advisor Garcia,No Response
2591,2334,Career Counseling,2023-11-04,Advisor Garcia,Successful
2592,2334,Career Counseling,2023-11-05,Advisor Smith,Successful
2593,2338,Financial Aid Guidance,2023-11-11,Advisor Smith,Successful
2594,2339,Career Counseling,2023-10-20,Advisor Jones,Follow-up Needed
2595,2340,Career Counseling,2023-11-21,Advisor Garcia,Follow-up Needed
2596,2340,At-Risk Outreach,2023-10-30,Advisor Garcia,In Progress
2597,2342,Career Counseling,2023-11-06,Advisor Garcia,No Response
2598,2343,Financial Aid Guidance,2023-11-10,Advisor Chen,In Progress
2599,2343,Career Counseling,2023-12-12,Advisor Chen,Follow-up Needed
2600,2346,Academic Planning,2023-10-24,Advisor Jones,Successful
2601,2348,Career Counseling,2023-10-09,Advisor Smith,Follow-up Needed
2602,2349,Academic Planning,2023-11-14,Advisor Jones,Successful
2603,2350,At-Risk Outreach,2023-10-24,Advisor Smith,In Progress
2604,2351,Financial Aid Guidance,2023-12-10,Advisor Smith,In Progress
2605,2351,Career Counseling,2023-12-28,Advisor Garcia,Successful
2606,2356,Career Counseling,2023-10-08,Advisor Smith,No Response
2607,2365,Financial Aid Guidance,2023-12-02,Advisor Jones,Follow-up Needed
2608,2369,At-Risk Outreach,2023-11-21,Advisor Smith,Successful
2609,2369,Academic Planning,2023-11-27,Advisor Smith,Successful
2610,2373,Career Counseling,2023-10-09,Advisor Smith,No Response
2611,2373,Financial Aid Guidance,2023-11-05,Advisor Smith,No Response
2612,2379,At-Risk Outreach,2023-10-07,Advisor Jones,No Response
2613,2389,Financial Aid Guidance,2023-12-13,Advisor Jones,Follow-up Needed
2614,2392,Financial Aid Guidance,2023-12-16,Advisor Jones,Successful
2615,2394,Career Counseling,2023-12-12,Advisor Smith,Successful
2616,2404,Financial Aid Guidance,2023-10-05,Advisor Jones,In Progress
2617,2404,Career Counseling,2023-10-11,Advisor Garcia,Successful
2618,2406,Career Counseling,2023-12-13,Advisor Garcia,Follow-up Needed
2619,2406,At-Risk Outreach,2023-11-24,Advisor Chen,No Response
2620,2420,Financial Aid Guidance,2023-11-14,Advisor Smith,In Progress
2621,2420,Career Counseling,2023-10-04,Advisor Garcia,Successful
2622,2421,Financial Aid Guidance,2023-12-02,Advisor Chen,No Response
2623,2424,At-Risk Outreach,2023-10-24,Advisor Smith,In Progress
2624,2424,Financial Aid Guidance,2023-10-26,Advisor Jones,Follow-up Needed
2625,2426,Career Counseling,2023-11-03,Advisor Garcia,In Progress
2626,2426,Financial Aid Guidance,2023-11-14,Advisor Smith,No Response
2627,2428,Career Counseling,2023-10-04,Advisor Jones,Follow-up Needed
2628,2428,Career Counseling,2023-10-23,Advisor Garcia,In Progress
2629,2433,Financial Aid Guidance,2023-11-21,Advisor Smith,Successful
2630,2433,Academic Planning,2023-11-28,Advisor Jones,In Progress
2631,2437,Financial Aid Guidance,2023-10-23,Advisor Smith,In Progress
2632,2438,Career Counseling,2023-10-04,Advisor Smith,Successful
2633,2441,Career Counseling,2023-11-20,Advisor Jones,Successful
2634,2443,Financial Aid Guidance,2023-11-13,Advisor Chen,Follow-up Needed
2635,2443,Academic Planning,2023-11-10,Advisor Smith,In Progress
2636,2445,Financial Aid Guidance,2023-10-31,Advisor Smith,In Progress
2637,2445,Financial Aid Guidance,2023-11-11,Advisor Jones,Follow-up Needed
2638,2451,Career Counseling,2023-11-06,Advisor Chen,Successful
2639,2454,Academic Planning,2023-12-21,Advisor Jones,In Progress
2640,2456,At-Risk Outreach,2023-12-21,Advisor Chen,Successful
2641,2458,At-Risk Outreach,2023-12-15,Advisor Chen,In Progress
2642,2463,At-Risk Outreach,2023-10-07,Advisor Jones,Successful
2643,2463,Financial Aid Guidance,2023-11-26,Advisor Smith,No Response
2644,2465,At-Risk Outreach,2023-12-17,Advisor Chen,In Progress
2645,2476,Academic Planning,2023-12-26,Advisor Smith,No Response
2646,2485,Academic Planning,2023-12-28,Advisor Jones,Follow-up Needed
2647,2485,Career Counseling,2023-11-15,Advisor Jones,No Response
2648,2486,Financial Aid Guidance,2023-12-12,Advisor Smith,No Response
2649,2486,Academic Planning,2023-10-07,Advisor Garcia,In Progress
2650,2488,Financial Aid Guidance,2023-10-13,Advisor Garcia,In Progress
2651,2488,At-Risk Outreach,2023-11-22,Advisor Jones,Follow-up Needed
2652,2490,At-Risk Outreach,2023-11-30,Advisor Garcia,Successful
2653,2490,Career Counseling,2023-12-29,Advisor Chen,Successful
2654,2497,Financial Aid Guidance,2023-11-09,Advisor Smith,No Response
2655,2497,At-Risk Outreach,2023-12-21,Advisor Smith,In Progress
2656,2505,Career Counseling,2023-12-01,Advisor Chen,Follow-up Needed
2657,2505,Financial Aid Guidance,2023-12-01,Advisor Jones,Follow-up Needed
2658,2506,Academic Planning,2023-11-29,Advisor Smith,No Response
2659,2506,At-Risk Outreach,2023-11-01,Advisor Smith,No Response
2660,2513,At-Risk Outreach,2023-12-16,Advisor Chen,No Response
2661,2522,Financial Aid Guidance,2023-12-21,Advisor Chen,No Response
2662,2522,Academic Planning,2023-10-16,Advisor Chen,No Response
2663,2526,At-Risk Outreach,2023-10-13,Advisor Jones,Follow-up Needed
2664,2526,Academic Planning,2023-12-21,Advisor Smith,In Progress
2665,2529,At-Risk Outreach,2023-10-15,Advisor Smith,Follow-up Needed
2666,2531,At-Risk Outreach,2023-11-23,Advisor Chen,Follow-up Needed
2667,2534,At-Risk Outreach,2023-10-05,Advisor Garcia,No Response
2668,2534,At-Risk Outreach,2023-12-15,Advisor Jones,Successful
2669,2535,Career Counseling,2023-12-20,Advisor Smith,In Progress
2670,2541,Academic Planning,2023-11-04,Advisor Jones,No Response
2671,2541,At-Risk Outreach,2023-12-06,Advisor Garcia,Follow-up Needed
2672,2544,Academic Planning,2023-11-10,Advisor Chen,Follow-up Needed
2673,2547,Financial Aid Guidance,2023-10-24,Advisor Chen,Follow-up Needed
2674,2548,At-Risk Outreach,2023-12-13,Advisor Garcia,In Progress
2675,2548,Academic Planning,2023-10-03,Advisor Jones,In Progress
2676,2549,Career Counseling,2023-10-19,Advisor Chen,Successful
2677,2549,Career Counseling,2023-12-16,Advisor Chen,No Response
2678,2550,At-Risk Outreach,2023-10-20,Advisor Chen,Successful
2679,2550,Career Counseling,2023-12-25,Advisor Chen,Successful
2680,2552,Academic Planning,2023-10-18,Advisor Chen,Follow-up Needed
2681,2559,Career Counseling,2023-12-12,Advisor Smith,Successful
2682,2560,At-Risk Outreach,2023-10-26,Advisor Smith,Successful
2683,2560,Financial Aid Guidance,2023-10-22,Advisor Jones,Follow-up Needed
2684,2562,Financial Aid Guidance,2023-11-21,Advisor Chen,Follow-up Needed
2685,2563,At-Risk Outreach,2023-10-01,Advisor Garcia,Follow-up Needed
2686,2563,Career Counseling,2023-12-18,Advisor Jones,Follow-up Needed
2687,2566,At-Risk Outreach,2023-12-09,Advisor Smith,No Response
2688,2567,Career Counseling,2023-12-25,Advisor Garcia,Follow-up Needed
2689,2569,Financial Aid Guidance,2023-11-24,Advisor Jones,No Response
2690,2576,Financial Aid Guidance,2023-12-19,Advisor Jones,Successful
2691,2577,Academic Planning,2023-12-14,Advisor Garcia,Follow-up Needed
2692,2578,Financial Aid Guidance,2023-12-11,Advisor Garcia,In Progress
2693,2578,Academic Planning,2023-12-26,Advisor Jones,Follow-up Needed
2694,2582,At-Risk Outreach,2023-11-11,Advisor Garcia,No Response
2695,2582,At-Risk Outreach,2023-10-29,Advisor Garcia,Follow-up Needed
2696,2589,At-Risk Outreach,2023-12-07,Advisor Smith,No Response
2697,2596,Academic Planning,2023-10-17,Advisor Jones,Successful
2698,2596,Academic Planning,2023-12-02,Advisor Jones,No Response
2699,2597,Academic Planning,2023-11-23,Advisor Garcia,Successful
2700,2598,At-Risk Outreach,2023-11-15,Advisor Garcia,In Progress
2701,2598,At-Risk Outreach,2023-12-20,Advisor Jones,Successful
2702,2601,At-Risk Outreach,2023-11-24,Advisor Garcia,In Progress
2703,2601,Financial Aid Guidance,2023-12-19,Advisor Chen,In Progress
2704,2605,Financial Aid Guidance,2023-12-23,Advisor Jones,In Progress
2705,2611,Financial Aid Guidance,2023-12-05,Advisor Chen,Follow-up Needed
2706,2611,Career Counseling,2023-11-24,Advisor Garcia,Follow-up Needed
2707,2616,Financial Aid Guidance,2023-10-21,Advisor Smith,Follow-up Needed
2708,2616,Academic Planning,2023-12-26,Advisor Jones,In Progress
2709,2623,Academic Planning,2023-11-21,Advisor Smith,No Response
2710,2626,Career Counseling,2023-12-28,Advisor Smith,Follow-up Needed
2711,2629,Academic Planning,2023-10-11,Advisor Chen,Follow-up Needed
2712,2630,Financial Aid Guidance,2023-11-14,Advisor Chen,In Progress
2713,2633,At-Risk Outreach,2023-11-15,Advisor Chen,No Response
2714,2633,Career Counseling,2023-10-04,Advisor Smith,Successful
2715,2634,Career Counseling,2023-12-28,Advisor Smith,Successful
2716,2638,Academic Planning,2023-10-22,Advisor Chen,No Response
2717,2638,Financial Aid Guidance,2023-10-11,Advisor Chen,No Response
2718,2639,Career Counseling,2023-12-08,Advisor Jones,In Progress
2719,2639,At-Risk Outreach,2023-12-20,Advisor Jones,Successful
2720,2640,Career Counseling,2023-11-11,Advisor Jones,In Progress
2721,2640,At-Risk Outreach,2023-10-28,Advisor Chen,In Progress
2722,2643,At-Risk Outreach,2023-10-21,Advisor Chen,Successful
2723,2643,Financial Aid Guidance,2023-11-26,Advisor Smith,Successful
2724,2646,Academic Planning,2023-12-12,Advisor Smith,Follow-up Needed
2725,2650,Career Counseling,2023-12-13,Advisor Garcia,Successful
2726,2651,Financial Aid Guidance,2023-12-24,Advisor Jones,Follow-up Needed
2727,2651,At-Risk Outreach,2023-11-25,Advisor Chen,Follow-up Needed
2728,2653,Academic Planning,2023-12-28,Advisor Smith,Successful
2729,2659,At-Risk Outreach,2023-12-19,Advisor Chen,In Progress
2730,2659,At-Risk Outreach,2023-10-28,Advisor Chen,No Response
2731,2662,Academic Planning,2023-12-26,Advisor Chen,In Progress
2732,2662,Financial Aid Guidance,2023-12-13,Advisor Chen,Successful
2733,2670,Financial Aid Guidance,2023-11-27,Advisor Garcia,In Progress
2734,2675,Financial Aid Guidance,2023-10-10,Advisor Jones,No Response
2735,2678,Career Counseling,2023-10-10,Advisor Smith,No Response
2736,2681,Academic Planning,2023-12-02,Advisor Jones,No Response
2737,2681,Academic Planning,2023-12-14,Advisor Chen,Follow-up Needed
2738,2685,Financial Aid Guidance,2023-12-25,Advisor Jones,Follow-up Needed
2739,2685,Financial Aid Guidance,2023-10-06,Advisor Jones,Follow-up Needed
2740,2692,Academic Planning,2023-12-07,Advisor Chen,Successful
2741,2700,Career Counseling,2023-10-29,Advisor Chen,In Progress
2742,2702,At-Risk Outreach,2023-10-12,Advisor Smith,Successful
2743,2702,Career Counseling,2023-10-08,Advisor Chen,Follow-up Needed
2744,2703,Career Counseling,2023-10-04,Advisor Jones,In Progress
2745,2703,At-Risk Outreach,2023-11-13,Advisor Garcia,No Response
2746,2704,Career Counseling,2023-11-20,Advisor Garcia,Successful
2747,2716,At-Risk Outreach,2023-11-05,Advisor Jones,Follow-up Needed
2748,2716,Financial Aid Guidance,2023-11-29,Advisor Garcia,No Response
2749,2719,Academic Planning,2023-11-24,Advisor Chen,Follow-up Needed
2750,2719,Academic Planning,2023-10-05,Advisor Garcia,No Response
2751,2721,At-Risk Outreach,2023-11-04,Advisor Smith,Successful
2752,2721,Financial Aid Guidance,2023-11-15,Advisor Smith,Follow-up Needed
2753,2724,Financial Aid Guidance,2023-12-16,Advisor Jones,Successful
2754,2725,At-Risk Outreach,2023-10-11,Advisor Jones,Successful
2755,2726,Career Counseling,2023-10-13,Advisor Smith,Successful
2756,2726,Academic Planning,2023-10-10,Advisor Smith,Follow-up Needed
2757,2730,At-Risk Outreach,2023-10-20,Advisor Chen,Successful
2758,2730,Career Counseling,2023-12-08,Advisor Smith,Successful
2759,2731,At-Risk Outreach,2023-11-02,Advisor Smith,In Progress
2760,2735,Financial Aid Guidance,2023-10-06,Advisor Garcia,No Response
2761,2735,At-Risk Outreach,2023-10-09,Advisor Smith,In Progress
2762,2736,Academic Planning,2023-10-26,Advisor Garcia,In Progress
2763,2738,Career Counseling,2023-11-26,Advisor Garcia,No Response
2764,2738,Academic Planning,2023-12-19,Advisor Smith,In Progress
2765,2739,Financial Aid Guidance,2023-12-12,Advisor Chen,Successful
2766,2748,Career Counseling,2023-10-23,Advisor Garcia,No Response
2767,2748,At-Risk Outreach,2023-12-27,Advisor Jones,No Response
2768,2750,Academic Planning,2023-11-16,Advisor Jones,No Response
2769,2751,Academic Planning,2023-11-17,Advisor Garcia,In Progress
2770,2751,Financial Aid Guidance,2023-10-21,Advisor Garcia,Successful
2771,2753,At-Risk Outreach,2023-10-19,Advisor Smith,Successful
2772,2753,Career Counseling,2023-12-25,Advisor Smith,No Response
2773,2756,Academic Planning,2023-12-17,Advisor Jones,Successful
2774,2758,Financial Aid Guidance,2023-12-15,Advisor Garcia,In Progress
2775,2758,Financial Aid Guidance,2023-12-25,Advisor Garcia,Follow-up Needed
2776,2763,At-Risk Outreach,2023-10-23,Advisor Chen,In Progress
2777,2766,At-Risk Outreach,2023-12-18,Advisor Garcia,In Progress
2778,2766,Financial Aid Guidance,2023-10-11,Advisor Jones,Successful
2779,2769,At-Risk Outreach,2023-11-03,Advisor Jones,Follow-up Needed
2780,2769,Career Counseling,2023-10-16,Advisor Garcia,Follow-up Needed
2781,2772,Academic Planning,2023-12-08,Advisor Chen,No Response
2782,2772,Academic Planning,2023-10-19,Advisor Smith,Follow-up Needed
2783,2774,Financial Aid Guidance,2023-12-12,Advisor Jones,No Response
